timestamp,smooth_cx,smooth_cy,is_predicted,raw_cx,raw_cy
20231130_0015,400.48091603053433,372.1603053435114,False,400.48091603053433,372.1603053435114
20231130_0045,400.41094970703125,371.9980163574219,False,399.63358778625957,370.19465648854964
20231130_0115,400.38763427734375,371.94390869140625,True,317.419452887538,354.48936170212767
20231130_0145,400.36431884765625,371.8898010253906,True,316.4298780487805,354.3932926829268
20231130_0215,400.34100341796875,371.835693359375,True,316.0244565217391,354.1195652173913
20231130_0245,400.31768798828125,371.7815856933594,True,316.62382445141066,354.0313479623824
20231130_0315,400.29437255859375,371.72747802734375,True,316.6739811912226,353.3573667711599
20231130_0345,400.27105712890625,371.6733703613281,True,317.8851174934726,352.5117493472585
20231130_0415,395.30438232421875,362.9793395996094,False,394.5206349206349,361.6095238095238
20231130_0445,394.20635986328125,361.46209716796875,False,394.0255681818182,361.46590909090907
20231130_0515,392.31585693359375,359.3986511230469,False,391.2648401826484,358.8173515981735
20231130_0545,391.16888427734375,357.7464294433594,True,326.4463087248322,348.8456375838926
20231130_0615,387.603515625,354.2471008300781,False,385.9971181556196,353.02017291066284
20231130_0645,385.846435546875,352.1288757324219,True,501.1585127201566,415.2915851272016
20231130_0715,383.64483642578125,350.0878601074219,False,383.3941605839416,350.13138686131384
20231130_0745,381.7825622558594,347.9879150390625,True,461.5099150141643,439.27903682719545
20231130_0815,379.9202880859375,345.8879699707031,True,461.23015873015873,440.3267195767196
20231130_0945,378.0580139160156,343.78802490234375,True,502.420424403183,436.44827586206895
20231130_1015,376.19573974609375,341.6880798339844,True,462.8439620081411,458.17367706919947
20231130_1045,374.3334655761719,339.588134765625,True,461.9133964817321,460.11637347767254
20231130_1115,372.47119140625,337.4881896972656,True,461.98582677165354,463.044094488189
20231130_1145,370.6089172363281,335.38824462890625,True,462.82405745062835,465.5852782764812
20231130_1215,368.74664306640625,333.2882995605469,True,465.4292343387471,467.0232018561485
20231130_1245,366.8843688964844,331.1883544921875,True,464.8708240534521,467.39643652561244
20231130_1315,365.0220947265625,329.0884094238281,True,464.297131147541,468.125
20231130_1345,363.1598205566406,326.98846435546875,True,456.67105263157896,417.88377192982455
20231130_1415,361.29754638671875,324.8885192871094,True,464.7750556792873,468.31180400890867
20231130_1445,359.4352722167969,322.78857421875,True,465.42914171656685,468.16766467065867
20231130_1515,357.572998046875,320.6886291503906,True,465.75847457627117,468.3728813559322
20231130_1545,355.7107238769531,318.58868408203125,True,465.2146892655367,416.31073446327684
20231130_1615,350.5029296875,334.6805114746094,False,350.4569377990431,334.9306220095694
20231130_1645,348.38311767578125,333.9811096191406,True,469.48057553956835,418.31942446043166
20231130_1715,346.2633056640625,333.2817077636719,True,472.446499339498,418.9577278731836
20231130_1745,344.14349365234375,332.5823059082031,True,474.01387283236994,419.685549132948
20231130_1815,329.9461975097656,342.8224182128906,False,327.46019629225736,345.0741548527808
20231130_1845,336.0061340332031,340.19293212890625,False,343.9701071630006,337.131415679639
20231130_1915,339.1583251953125,339.1405944824219,False,344.4238745574102,337.58067779463835
20231130_1945,341.13348388671875,338.5638732910156,False,344.03242481203006,337.843515037594
20231130_2015,342.7719421386719,338.0614318847656,False,344.51808318264017,337.61708860759495
20231130_2045,344.5042724609375,337.7040710449219,False,345.8683876428269,337.546339399069
20231130_2115,345.3647155761719,337.4475402832031,True,490.0725982532751,465.34115720524017
20231130_2145,346.22515869140625,337.1910095214844,True,489.7152852529602,465.31431646932185
20231130_2215,339.75115966796875,346.4575500488281,False,336.8608881754949,350.21027287319424
20231130_2245,340.0460510253906,346.7881774902344,False,340.95050270688324,345.4891724671307
20231130_2315,340.6306457519531,347.12078857421875,False,341.82261208577,345.85769980506825
20231130_2345,341.0380859375,347.0291442871094,False,341.7924806487284,345.5230372281607
20231201_0015,341.1317443847656,346.9541320800781,False,341.3238679969302,345.85725249424405
20231201_0045,340.5940856933594,346.7581481933594,False,339.996500777605,345.8258164852255
20231201_0115,336.2726135253906,350.18084716796875,False,331.4438742783836,353.7177677998717
20231201_0145,332.0583190917969,353.28961181640625,False,328.70033877425317,355.4755158607946
20231201_0215,324.97894287109375,363.9463806152344,False,319.21289605336295,374.31795441912175
20231201_0245,321.400634765625,371.00543212890625,False,321.3084745762712,374.3220338983051
20231201_0315,319.63897705078125,374.93408203125,False,321.6961149547632,373.67802022352316
20231201_0345,319.4624328613281,376.9957580566406,False,322.80825791855204,373.9004524886878
20231201_0415,317.2169189453125,380.9714660644531,True,483.37795729948067,392.1384881708021
20231201_0445,314.9714050292969,384.9471740722656,True,480.2916436081904,391.8954067515219
20231201_0515,312.72589111328125,388.9228820800781,True,477.60765815760266,391.0860155382908
20231201_0545,310.4803771972656,392.8985900878906,True,474.07744314689614,393.5218192993239
20231201_0615,308.23486328125,396.8742980957031,True,469.4348710990502,392.2788331071913
20231201_0645,305.9893493652344,400.8500061035156,True,473.921875,387.29185267857144
20231201_0715,303.74383544921875,404.8257141113281,True,471.8790672451193,385.617136659436
20231201_0745,301.4983215332031,408.8014221191406,True,473.488630621526,387.4158665992926
20231201_0815,299.2528076171875,412.7771301269531,True,473.866605756053,388.6847875742348
20231201_0845,297.0072937011719,416.7528381347656,True,472.2056030389364,388.1951566951567
20231201_0915,294.76177978515625,420.7285461425781,True,466.01463414634145,380.0717770034843
20231201_0945,292.5162658691406,424.7042541503906,True,463.0177430801987,377.9836763662172
20231201_1015,290.270751953125,428.6799621582031,True,459.2249047013977,381.53494282083864
20231201_1115,288.0252380371094,432.6556701660156,True,457.7010159651669,379.14368650217705
20231201_1145,285.77972412109375,436.6313781738281,True,456.64334705075447,379.71742112482855
20231201_1215,283.5342102050781,440.6070861816406,True,455.1850699844479,379.25505443234835
20231201_1245,281.2886962890625,444.5827941894531,True,452.95772357723575,379.8536585365854
20231201_1315,279.0431823730469,448.5585021972656,True,325.457095709571,339.04455445544556
20231201_1345,276.79766845703125,452.5342102050781,True,325.5,337.3667953667954
20231201_1415,274.5521545410156,456.5099182128906,True,324.2273641851107,340.16700201207243
20231201_1445,272.306640625,460.4856262207031,True,288.76806722689076,338.5260504201681
20231201_1515,270.0611267089844,464.4613342285156,True,326.196671709531,337.0302571860817
20231201_1545,267.81561279296875,468.4370422363281,True,287.2907348242812,336.99041533546324
20231201_1615,265.5700988769531,472.4127502441406,True,289.26409017713365,335.68599033816423
20231201_1645,263.3245849609375,476.3884582519531,True,287.4203084832905,336.2840616966581
20231201_1715,261.0790710449219,480.3641662597656,True,334.7787182587666,343.081015719468
20231201_1745,258.83355712890625,484.3398742675781,True,334.79800498753116,340.23815461346635
20231201_1815,256.5880432128906,488.3155822753906,True,300.56416464891043,382.0205811138014
20231201_1845,254.342529296875,492.2912902832031,True,317.9842608206858,359.76672287802137
20231201_1915,252.09701538085938,496.2669982910156,True,320.0822351080654,357.6220347917765
20231201_1945,249.85150146484375,500.2427062988281,True,319.69040553907024,357.91790306627104
20231201_2015,247.60598754882812,504.2184143066406,True,321.86479128856627,355.72186932849365
20231201_2045,245.3604736328125,508.1941223144531,True,321.24586689275117,356.51250529885544
20231201_2115,243.11495971679688,512.1698608398438,True,327.6864197530864,341.4851851851852
20231201_2145,240.86944580078125,516.1455688476562,True,488.13160173160173,368.76017316017317
20231201_2215,238.62393188476562,520.1212768554688,True,489.4303428154632,366.82421590080236
20231201_2245,236.37841796875,524.0969848632812,True,323.8605769230769,367.5302197802198
20231201_2315,234.13290405273438,528.0726928710938,True,323.086719223772,367.4893875075804
20231201_2345,231.88739013671875,532.0484008789062,True,325.3964757709251,362.2542479546885
20231202_0015,229.64187622070312,536.0241088867188,True,325.05368013281685,364.14001106806865
20231202_0045,227.3963623046875,539.9998168945312,True,323.02182214948175,364.4904528096017
20231202_0115,225.15084838867188,543.9755249023438,True,321.5826771653543,365.42887139107614
20231202_0145,222.90533447265625,547.9512329101562,True,321.1219512195122,364.7593495934959
20231202_0215,220.65982055664062,551.9269409179688,True,317.1958863858962,360.03330068560234
20231202_0245,218.414306640625,555.9026489257812,True,318.35420944558524,360.3613963039014
20231202_0315,216.16879272460938,559.8783569335938,True,490.5743626062323,357.03470254957506
20231202_0345,213.92327880859375,563.8540649414062,True,491.9041297935103,357.07300884955754
20231202_0415,211.67776489257812,567.8297729492188,True,492.72370999346833,358.7472240365774
20231202_0445,209.4322509765625,571.8054809570312,True,493.8531468531468,358.94335664335665
20231202_0515,207.18673706054688,575.7811889648438,True,494.48503827418233,358.76548364648573
20231202_0545,204.94122314453125,579.7568969726562,True,494.65778097982707,358.43299711815564
20231202_0615,202.69570922851562,583.7326049804688,True,495.2972784368458,359.6161898115841
20231202_0645,200.4501953125,587.7083129882812,True,494.95585284280935,359.64816053511703
